Sample in Buffer,Sample in Window,TRIGGER,MyRtl_i/filter_sg_0_audio_ce,MyRtl_i/filter_sg_0_audio_out[19:0]
0,0,1,0,31
1,1,0,1,31
2,2,0,1,41
3,3,0,1,43
4,4,0,1,51
5,5,0,1,52
6,6,0,1,60
7,7,0,1,61
8,8,0,1,61
9,9,0,1,54
10,10,0,1,62
11,11,0,1,58
12,12,0,1,64
13,13,0,1,67
14,14,0,1,72
15,15,0,1,77
16,16,0,1,82
17,17,0,1,93
18,18,0,1,97
19,19,0,1,103
20,20,0,1,106
21,21,0,1,116
22,22,0,1,117
23,23,0,1,121
24,24,0,1,122
25,25,0,1,124
26,26,0,1,128
27,27,0,1,122
28,28,0,1,122
29,29,0,1,123
30,30,0,1,121
31,31,0,1,118
32,32,0,1,116
33,33,0,1,111
34,34,0,1,101
35,35,0,1,94
36,36,0,1,87
37,37,0,1,73
38,38,0,1,62
39,39,0,1,52
40,40,0,1,33
41,41,0,1,25
42,42,0,1,15
43,43,0,1,-2
44,44,0,1,-15
45,45,0,1,-30
46,46,0,1,-42
47,47,0,1,-54
48,48,0,1,-67
49,49,0,1,-80
50,50,0,1,-85
51,51,0,1,-100
52,52,0,1,-105
53,53,0,1,-112
54,54,0,1,-117
55,55,0,1,-125
56,56,0,1,-126
57,57,0,1,-128
58,58,0,1,-130
59,59,0,1,-130
60,60,0,1,-138
61,61,0,1,-138
62,62,0,1,-140
63,63,0,1,-139
64,64,0,1,-147
65,65,0,1,-142
66,66,0,1,-144
67,67,0,1,-139
68,68,0,1,-130
69,69,0,1,-125
70,70,0,1,-119
71,71,0,1,-109
72,72,0,1,-98
73,73,0,1,-95
74,74,0,1,-86
75,75,0,1,-76
76,76,0,1,-67
77,77,0,1,-60
78,78,0,1,-52
79,79,0,1,-44
80,80,0,1,-33
81,81,0,1,-29
82,82,0,1,-10
83,83,0,1,-7
84,84,0,1,-1
85,85,0,1,12
86,86,0,1,13
87,87,0,1,23
88,88,0,1,30
89,89,0,1,35
90,90,0,1,38
91,91,0,1,45
92,92,0,1,52
93,93,0,1,60
94,94,0,1,58
95,95,0,1,63
96,96,0,1,61
97,97,0,1,64
98,98,0,1,66
99,99,0,1,65
100,100,0,1,65
101,101,0,1,67
102,102,0,1,75
103,103,0,1,80
104,104,0,1,82
105,105,0,1,93
106,106,0,1,101
107,107,0,1,110
108,108,0,1,113
109,109,0,1,117
110,110,0,1,121
111,111,0,1,128
112,112,0,1,132
113,113,0,1,130
114,114,0,1,129
115,115,0,1,136
116,116,0,1,134
117,117,0,1,132
118,118,0,1,134
119,119,0,1,131
120,120,0,1,128
121,121,0,1,123
122,122,0,1,117
123,123,0,1,109
124,124,0,1,100
125,125,0,1,90
126,126,0,1,78
127,127,0,1,67
128,128,0,1,50
129,129,0,1,40
130,130,0,1,26
131,131,0,1,16
132,132,0,1,5
133,133,0,1,-10
134,134,0,1,-27
135,135,0,1,-41
136,136,0,1,-50
137,137,0,1,-61
