Sample in Buffer,Sample in Window,TRIGGER,MyRtl_i/microphone_mgr_0_PDM_vector_full_STROBE,MyRtl_i/microphone_mgr_0_audio_data_vector_OUT[1023:0]
0,0,1,0,0010101100110001110011001100101010101100101100110001110100110011000111001100011101010011000111001100110011001100100111010101001100011011001110001011001010110011001100110100110011001100110001111000110011001101001100110011001101001100110101001100110011001110001100110011001101100011001100110011100101001100110011100100110100110110001100110101010101010011100011010101010101010100111000111000111000111000111001010101001110011001010100111001100011100011100110011000111001010110010101100101100101100011101001100110011001011000111010011100001110011001100110100110100110011001100110100111000110010110011100100110110000111100011100011010101010100111000110101100011100011100011100101011000110110001110100110001110001110011010011001001110011010011001100100111100100110001111000110011001100111000101100111000110011010101010011100011001110001101100011100011100011100011100110001110010101100011100101100110011000111010011001011001100110011001100110011001101010100110011010100110100111000110011100011100011010110001100111010010100111001100
1,1,0,1,1011001100011101001100110001110011000111010100110001110011001100110011001001110101010011000110110011100010110010101100110011001101001100110011001100011110001100110011010011001100110011010011001101010011001100110011100011001100110011011000110011001100111001010011001100111001001101001101100011001101010101010100111000110101010101010101001110001110001110001110001110010101010011100110010101001110011000111000111001100110001110010101100101011001011001011000111010011001100110010110001110100111000011100110011001101001101001100110011001101001110001100101100111001001101100001111000111000110101010101001110001101011000111000111000111001010110001101100011101001100011100011100110100110010011100110100110011001001111001001100011110001100110011001110001011001110001100110101010100111000110011100011011000111000111000111000111001100011100101011000111001011001100110001110100110010110011001100110011001100110011010101001100110101001101001110001100111000111000110101100011001110100101001110011000111001010110001111000011100110011000111
2,2,0,1,1000101011001101010011001100110011010011100011010011010100111000110101010101010100111001100011100101001110011001100101010110010110010110011001100110011001101001101001100110100111000110011010100111001001110001101100011100011100101011001010101011001100101011001100110010110011001101001101001100110100110110001011001110001110001110001110001110001110010101011001011000111001100110011001011001100101100111000101100110011100100110011010101010100111000111001001110001110011001010101011001011001011001100101100110011001101001110000111100011001101010101010100111001001110001101100101011000111001100011101001100110010110001111000110100110011001101010100110101010011100011001110011000111000111001011000111001100110001110011100001110011010011010011001110001011001110001110001100111001010011100110010100111001100101011001010110011001100110011001101001100110101001110000111100110001100110101100100111001100011100110001110011000111100010101100110011100001110110001011001101011000110100111000111001010100111001100101010110001110011010011001
3,3,0,1,1000111100010110011001110001100110101010100111000110011100011101001001110011000110110011000111010011001101001100011101010100110011100001111001010100110110001100111001010101100011100100111100001110010101100110011001100110100110011001100111000110011001110001110001110001101010110001110001110011000111001100110011000111001101001100110011001100111000110011001100111001001110001101010101010101011000110110001110011001100100111010011001011001100011110001100110011010011001110001100110011011000110101010011100100111001010100111001100101010101100011100110011001011001011001100110010110011001110001100101100110101010101001100111000110011100011011000111000111000111000111001100011100101011001001111000011100110010101100110011010011001011001100110100110011100010110011001110001110001100110011100011100011100011100011001110010110001101100101010110001110010110001110011010011000110110011001100110011000111100011001011001100111000110001111000110100111000101100110101100011001101011000110011011000110110001101100011100011100101010101010110
4,4,0,1,0011101001010101100011100110011000111001100110011001100011100110011010011001100101100110011100001110100111000101100110011011000101100110100111000110100110110001100110011100011100011010101010101010011100011100011011000111000111001010101010110001101011001011000110110010110001110011001010101100011100110011001011000111001100110010101100101100110011000111100001110100110011001010110011010011001100110011001100110011001100110011001101001101010011001100101100110101010011010011001101001100111000110011001100110110001100110011001110010011001110001011010011011000110011010100110110001011010011100100110100111000110011100100110011100011001110010100111000110010111000111001010101001100111000110101010101001110001101010011100100111000110011100011011000110011100101001110001100111000111000110110001100110101100011010101010011100011010101010011100011100011001110001110001101010011100011100011001110001101010101001110001110001100110011100110001100110011100100111000110011011000110011011000110011010100111001001101001110001100110100111000
5,5,0,1,1100111000110011100011001101010011001110001101001101001110001011001101010011100011001100101101010100111000110001111000110011010011100010101100110101001100110011100010101100110011001110000111100001110110000111001100111000011100110011001100110011001100101100101100110011001100011100110101001010110001110011001100110001110011001100011100110010110001110011000111001100101100011100011100110010101011000110101100101100011010110001110010101010110001100111001100011011000110011100101010101001110001110001100111000111000110011100011010100111000110011010011100100110011010011010011100011001100110011010011010101001100110011001100101101010011001100110100110010110001111000110011001100011100110011010011000111001100011101010011000111000111001101001010100111010011000111000111000111001100110001110001100111001100101010011100101010011100100111000110101100011001110001110001101010100110101010100110101010011010100110101001110001011001101010011100010110011001101010011010011001101001100110011001100110100110011001100110011001011001100110011
6,6,0,1,0010110011001100110011000111010011001011001010101100110011001011000111001100110001110011001011000111001100101010101100101100011100101011001001110011001100011010011101001100011100011010110010011100110010011100101001110010100111001100101010011100011010110001110001110011000110011100011100110001100111001001110010110001100111001010100111001011000110011011001001110010101010101010011100101001110011000110011011000111001100011100011001110010101100011011000110101100011100110001100111001100011011001001110010101100011100011100101011000111000111001100101001110011001010101011000111001011000111001100110001110010101100100111100001110011000111001100110001110011001100110001110100110010101100110001111000101011001100110010110011001100110011001100101100110011100010110001111000110011001100111000110001110110001100110011001110001100110011100011001101001101100011001011011000110101001110001110001011010101100011001110010101010011100101001110001110010011100110001110001110001110011000111001100011100101100011100110100101010101100110001110
7,7,0,1,0110101001011000111010011001101001100101100110011001100111000101100110011010011100011001101001110000111100110001011001110001110001110001101010100111001100011001110011000111001010101011000111001100110001110010110001110100110100110001110010110100110011100001110011001101010011100001110110001100011110100100111000101011011001010101001110001110010101010101010110001110010101100011110000110110011000111010011001100110011001100101100110011100010110011001110001101010011001110001101010100111000111000110101011000111001100011001111000011100011100110011001100110001110011001100110011010011010011001100110011100011001101010011100011010100111001001110010011100011100110001110010101011000111010011001100101011001100110010101101010100110011010100110011001110001110001100110101100011010110001110001110011000111001010110010101100110011000111100010110011001100110011010100110100111000110011010100111001010100111001010101010011100110011001010110001110011001100110011001100101100111000110010110100111001001101010011100011010101010101100011100
8,8,0,1,0111001100110001110011001011001011001100101101001101010011010011001101001110001101001110001110010011100110001100111001100110010110001110011001101001100101100110011001101011000011110001101001110010011100100110110001101100110001110001110100110010110011000111010011100010110010110100111001001100110101011000101110001110010011100110011000111001011000111001100111000011100110100110100110101001101001101010011100100111000111000111001010110001110011000111001110000111001100101100111000110010110100111000110011100100110110001100111001100100111001100100111010011001011001011001100110011001101010100110011010011100011010110001100110101100110001101100101100011100110011001100011101010011001100111000011101010101001101010011100100111000110101100011100101011000111001100101100101100110010110011001101001101010011001100110110001100111000110101010101100011100011100101100100111010011001010110010101100111000110010110011001100111001001100111000110100111000111000110110001110011000110110010101100101100011101010011001011001100110011001100110
9,9,0,1,0111000110100110101010011010100111000111000111000111001010011100110011000111000111001100110011001100011101001101001100110011001100110011100011001101010100110101010100110110001101010011100110001110010011100110001110010101100101011001100101100110001111000101100110011001011001110001100110011010100110100111000110011100011001110001110010100111001001110010011100110001110010101010110011000111001100110010101100110010110011001011001101001100110100110011001100110011100011001110001100101101011000110011011000110101010101010100111000111001010101010101100011100100111001100110010101010110001110011001100110011001001110100110011010011001010110011010011001100110101001100110011010100110011010011100011001101001110001110001011001110001110010100111000110101010011100110001100111001100011010101100101010011100110011000110101100011101001010110010100111010100101010110010101100110011000111001100111000011011001011001100110011100001110011001100110011001100110100110011100001110011010100110011010011100010110011001100110110001100110011100011
10,10,0,1,0011001101100011001100110110001100110101011000011110001110001101001110001101001110001110001100111000110101001110011000110011001101100101010100111001010011011000110011100100111001100011001110010011100011100011100011100101001110001110001110001110010101001110010101010100111001100011010011100110001110001110001110001101100011100101100011001110010101100011010110001110010100111001001110010101010101011000110011100110010011100011100011010110001110010011100011100101001110010011100100111000111000110101011000110101010101010101010100111000111000110101010101010011100011100011001110001110001101011000101100111001010011100011010011010110001100110011011000110101001110001100110011100011001101011000101100110011100011010011010100110011001110001100110010110101001110001100011110001100110011010011001101001100110011001100110010110011100010101100110011001011001100110100110010011101010011001100011100110011001100011101001100110001110001111000100111001100110001110010110010101010110010011101001100011100011100101010101011000111001100011010
11,11,0,1,1010101100011010110010011100011100011011000110101010100111001010100110101010011100011010101001110001100110011100100111000101100110101100010110011001110001100110101001100110011001101010011001110000111001100110011100010101100110011001100110011001100110010011110001100101010110011001100101011001011001011000111010011001010101100011100110001110011001100011011000110110011000111000111001100011011000110110001110010011100011100110001011010110001101011000110100111001001110001110001011010101010011100011100011001100110101010101010011001101100010110011010100111000110011001101001101001101001110001010110011011000101011001100110101010011001100110001111001001100110010110011001100110011001100110011001101001100011100111000011100110011001100110011001100011100110011001100110010110011000111001110000111001011001011001100101100101011001100101100110001110100110011000111001011001100110010101100101100101100011110001001110011010011000111001100110001110011010011001001110100110011001001111000101011001010110011001100110001110100110011001100
12,12,0,1,1011000111100001110100110100110001110011010011001100110011000111100011001100011101100010011110001100110011001100110100110011001100110011010011100010101100110011100011001101001110000111001110010011001110001011001110001100110110001100110011010101010100111000110101001101010100111000110110001101001110001110001110001101010110001101010101100011100011011000111001100011100011100101010101011001011001001110011001100011100101011001011001100011100110100110001110011001100110011001011000111100011010011001011000111100100110011010011001101001101001101001100111000110011100011001100111000111000110101001110010011010110001100111001100011010101011000111001100011011001010101100011100110100110001101100101100101100110100110010101100110011001101010011001100110011001101010100110011100011001101100011001100111001010100111000111001010100111001100011001110011010010101100011011001100011101010011001010101100110011010011010011000111100011100010110010110101100011001110001101010011100011100011100011011000111001010101100100111001100110010110001
13,13,0,1,1011001101001100110010110011001100110011001110001100110011100011001100111000111000110101100011001110010011100110011000110110001110010110011001100100111100010110011001011001100111000110011001100110101100011001100111001010100111001001110010101010101100011100110001110100110010101100101100110011001101001100110011100011000111100110001100110011100110001100110101100101100011100011100110011001010110001110100110011001101001100110011001101010011100010110011100100111001001110001110010100111001100101010110010101100110011000111100010110011010011001101010011010011100011001110001101100011010110001110011000110110011001100011100110011001100110011010011001100111000101100111000110110001100111000111001100011011000111001100011101001100101100101100110010110011100011010011001110000111100110001100111001010100111001100100111001100101011001011001011001101001100110011001101010011010011100011001110010100111000110110001110011001011000110110011001100110011001100101100110100111000110011001101100011001110001110010110001100111010011000111001
14,14,0,1,1001011001010110011010100110011001100110011100011010101010011100011001110011000111001010101011001011001010110011001100110011001101001100111000110010110011100110001100111001010101010101100011100110001110011001100110100101011001100110011010100110101010011010011100011001110011000110110001110010011101001100110001110010110011001101100001110011001101010100111000110100111000110011100110001110001110011000110110011000111010100110010101100110011001110000111100100110011011000101100111001100011010101010110001110001110011001100011100110011000111100010110011000111100101001101001100110011010110001100111000110110001101011000110110001110100110001101010110011001100110010101100110011001101001100110100110011010011100011001100111000110110001101010101010011100110001110001101100110001110011001100011100101100110011001100110010110011010011001100111000101100110011010101100011001100111000110101100011010011100110010011100011010110011000111001100011100110001110100110011001010110011001100101100110011010100110011001101001100111000110011001
