Sample in Buffer,Sample in Window,TRIGGER,MyRtl_i/microphone_mgr_0_PDM_vector_full_STROBE,MyRtl_i/microphone_mgr_0_audio_data_vector_OUT[1023:0]
0,0,1,0,0110001110011001010101010011101001100101010011101001100011100110010101100110001110101001100011100110011001100110010110011001100110100110011001011001100111000110011001100110011011000011110001101001110001100101101010101010100111000110011010110001100111000110101100011100011001110011000111000110101011000111001001110011001100011010110001110011000111001100110010011100110011001011001001111000100111100001110100110010110011001011001100110101001100101100110011001101010011001101001101001100110101001101001110001011001110001100110110001100111000111000110011010101010101010101010011100100111001001110010101001110011000111000111000111001100110001100111001110000110011100110011001100011100110001110101001100011100110011001100110011000111010100110011001100110100110011001011001110001100101100111000110011010011010011010101001100111000110011010101001110001101001110001110001101001110010011100011100011100011011000111001010101010101011000111001010110001110010110001110011001100011100101100101010110011001100110001110100110011000111001110
1,1,0,1,0011001100101100110011001101001100110010110011001110001100110011001100110110000111100011010011100011001011010101010101001110001100110101100011001110001101011000111000110011100110001110001101010110001110010011100110011000110101100011100110001110011001100100111001100110010110010011110001001111000011101001100101100110010110011001101010011001011001100110011010100110011010011010011001101010011010011100010110011100011001101100011001110001110001100110101010101010101010100111001001110010011100101010011100110001110001110001110011001100011001110011100001100111001100110011000111001100011101010011000111001100110011001100110001110101001100110011001101001100110010110011100011001011001110001100110100110100110101010011001110001100110101010011100011010011100011100011010011100100111000111000111000110110001110010101010101010110001110010101100011100101100011100110011000111001011001010101100110011001100011101001100110001110011100010101100101100110011100010101100110011010011010100110011001100110011100011010011010011011000101011010
2,2,0,1,1010101001110001101010011100011001110010011100011100011010101100011010011101001100010110101100011101001010101010101100011100110001110011001010110001110011010010110001110011001100101100110001111000101100101100110011001100110011001100110011011000011100111000011110001101010011001100111000110011001110001101010011100011001101010011100110001011001110001110011000110100111000111001010011100110001110001110001110011000111001100011011001010110011001001110011001100110001110011001100011100110100110011001010110011001100110011001100110011010011001100110011010011001110001011001100110101010011100010101101010101010011010101001110001100110011100101100011001100111001100011100011001110011000110011100110010011100101011000110110001110011001010101011001011000111001100101011001100101011001010110011001100110010110010110011001100110011001100110011001100110011010011100001110011100011001100110101001110001010110110001100110101010011100011010011100011010101001110010100111000110011100110001110001101100011011000111001011000111001001110011001
3,3,0,1,1000110101100110001110011001100101010110010110010110010110011001100101011001100111000011011001100110100110100110011001100101100111000110011001101010011001100111000110100110011100011001101001110010011100011001100111001010101001110001110001101001110011001001101011000110101011001001110100100111001010110001110010101100101100011100110011000111001100110001110100110010110010110011000111100011001011001011001101001100110011001100111000101011001101010011010011010100110011010100110101001101001110001101010011010101001110001101010101001110010011011000111000110101010110001110010011100101010101011000111001100011100101010110010101100011101001100011100110010110010110001110100110100110010011110000111010011100001110011001100110011100011000111010100111000101100110100110101001100111000110011010100111000110011001110010101010011001110010011100011100011001110010110001100111001100011011000110101100101100011100011100101011001010110001110011001100011011001100110001110011001100110010101100110001111000110001110100110100110011001011001100
4,4,0,1,1101001100111000100111100100110011001110001011001101010011100100110011001101100011001101100011001110010011100011001110001110010100111000111000110110001110010110001100111001100110001101010110010110001110010110001110100110001110011001011000111001101001100101100011101001101001100011110000111010100110011001100110011001110000111010101001100110011100011001100110011100100110011100011001100111000111000110100111000111000110011100011100011100011100011100011100011100101010011100110010100111001100011100101011000111001100110010011100110010110001111000011100110010110001111000110001110100110100101100110011000111100100110011001100110011010011010100110011001101001101010100110101001100111000110011100011001101100011010101001110001101010101010011100101100011001101011000111001100100111000111001010101100011100011101001100011100101011000111001100110011000111001100110010011110001011001011001011001100110011001100110011001100110011010011001100111000100111100100110100110100110011010101001110001100110011001110010101100001111000111000110
5,5,0,1,1100011001110001110010101010100111001010011100101100011010110001110010101100101001110011001100110001011100110010110011000111001100110011001011000111001100110100110010110010110011001100110011001101001101001100101100110011100010110011011000101011001110010011001101010011011000101100111000111000110011010101100011010011100100111000110101100011001110011001100010110101011001010110001110001110100101010101100011100110001110011001100101100011100110010110011001010110011001100101100110011001100110011001011001100111000101100110001111001100001110011100011001011010011100100110011100001111001001110001101001101100011001100111001100011010100111000111000111000111000111000111000111001011000110101100101010011110000110101100011100110011001010101011001011000111010011010010101011001100011110001010110011001100110011001100110011001100110011001110001011001100110011100011001100110011100011001101100010110011010101100010110100111001100010110011100101010100111000110110001110001101011000111000111001100011011000111000111010011000110011101001
6,6,0,1,1001100011001111000101100011100110011000111100001101100110011010011001010110011001011001101010011001100101100110100110011010011100001111000110001111001100011001100110011010011100101010011001110001100111000111000110100111000111001010011100011100011011000111000111001010101010110010011100110001110010101100011100110010101100011100110100110001101100110001110101001100110001110011001101001100110010110011001100110011010011001101001100110100110011001110001100110011001110001101001101010100110011100011100010110011100101010011100011010101010011100100111001001110010011100100111001100011010110001110010110001110010101100011100110010101100101011000111001101001100011100110011001010110011001100101100110011001100110011001100110011001101010011001011001100111000110011001110001011001100111001001101001101010011100011001101100011001101010101010101100011001100111100001011001110100101001110001110011000110101011000111001011000111001100101011000111000111010011001100100111010011000111001100110011001100110010101100101100110100110100110011
7,7,0,1,0010110011001101001101100001110011001110001100110101001101001101001110001011001110010100110011100011100011001101001110011000110101010011011000111000111000111000111001010110001101010110001110011000111001100011011001010110011000111001100101100011100110011001100101011001010110011010011001011001100011110001100110011001010110101001101010011001011001100111000110011010011010100110011010101001101001110001100111000110011100100110100111001010011011000110100111001100011001110010101100011001110011001100011010101011000111001100011100110001110011001010110001110011001100110001110011001100011110000111001101001100101100101100110011001101001100110011001100110011010100110011001100111000110010110011100011010100110100110101001101011000101100110110001110001100111000111001001110001100111001010101010101100011010011101001100011001110010101100101011001001110011001010101011000111100001110010101100101011001100110011000111001100110100110010101100110010110011010011010011001100101100110100111000011101001110001011001101100010110011001110001
8,8,0,1,1100011001100110101010011100100111000110011010101010101010101001110010100111000111000111001010101010101010101011001010101010110010011100110011000111001001110101001100011001111000110010101011001011001011001101001100011101001100110100110010011110001101001100110010110011010101001100110011010011010100110100110011100011001101001110001100111000110100111000111000101101100011010101010101010101010101010101001110011000110011100110011000110011100110011000110011101010010101010110001110011001100101010110011000111010011001100110001110011001100110011010011001010110011001110001001111000110011010011001100111000101011001110001100111000110011001101010011100011010100110100111000111000110011100011010110001100111000111001100011001110010101010110001101011000111001100011100101010110001110011001100011011001011001100011100110011001100011100110011001100110011000111010011001101001100110001111000110011001100110011010011100001110101010011010011100010101101001110010011010100110101010011010100111001001110001100110110001110001110001110001101
9,9,0,1,0101100011011001001110010110001110001110011000110110010110010101011000111001101001010101100011100111000011100011101001101001100101011001011001110000111001101001100110100110011001100110100110100110100110011001110001100111000011110010011010101001110001011001110010100111000111000110011010110001110001101011000110110001110001110001110011000111000111000111001100110001101100101100011100110010101100101100101100101011001100101100110010110010110011001101001100101011001101001101001100110011001100110011100011001100110011010100111000011110010011010100110101010011010100111000110011100100111000110011100110001100110101100011100101010101010101010101011000111001100011011001010011101001100100111001100101011001010101100110010110010110011001010110011001011001100110011001100110011001011001100110101001100110011001100110011100011001100110011100011001100111000110100110100110101100011001100110110001110001101010101010011011000110110001101011000110101100011100011100101100011011000111001100011100011101001100011100101011001010110010110010
10,10,0,1,1011001100110001110100110011001011001011001100110011001100110011001100110100110011001101010011001011001110001101001100110100111000101101001110001100111000110101001101010100111001001101010011100101010011100011011000111000110110001110001110010110001101011001001110011001100011010110001110100110001110010101100110010110001110100110011001001110101001100101011001100110011010011000111100010110011001110001010101101010100110011100001110101011000011101001110010011010011010100110110001011001110011000110011001110011000110011010101100011100011100011100011100100111001011000110110001110011000111001001110011100001100110110011001100101100011100110011001100011100110011001100110011001010110011001100110010110011100011000111100011001011001100111000110011001100111000110011010011001110001101001110001100110011011000110101100011001100111001100011001110001101100011010110001101100011100100111001010101010110001110010101100011100011110000110101100011110000110110001110101001100011100101100110010110010110011001100110011001100110010110011001
11,11,0,1,1001101001100110100110011010011001101001100111000101100110101010011100010110011100011001110001101010101001101010100111001001101100011010011100101010101001110011000110011100110010101001110011000110101100101100011100110001110011001010101100101100101011000111100010101011001100101100110010110011001100101100110100110011001101001100101100110011010101001100110100110011010011010101001101001101001101010100111000110011010011100110001010110110001110010011100011100011001110010101100011010110001101011001010011100110011000110011011010010110001110011001001110100110001101100110011000111010011001011001001111000110001110100110100110001110100110011100001110011100010101100110101001101001101001100110011100011001100111000110011010100111000110100110101010011100011100011001101010101100011010101010100111001100011001110011000111000110110001110011000111001100011010110010101100101011001011000111001100110010011101001100110010110001110100110011001100101100110010110011001100111000101011001100110011001101010011100001110101001101001101001101
12,12,0,1,0101001101001101001110001100110101010101001110001100111000111000110011100110001100111000111000111001001110011000110011100110011000110011100110010101100011100101100011101001100011100011100111000011011001011001011001100011101010100101100101011001100110011001100110011001110000111001110001011001100110100111000101100110011010101001110001100110011001110001110001100110101010100111000110101010100111000110011100110001101010101010101010101011000110101011001010101100011011000111001100110010011100011101001100011100110010110001110011001100110011000111001100110011001100110010110011001100101100110100110100110011001100110011100010101100111000101101010011010011010100110100111000110011001110001101010100111000110100111000110101010011100101010100111000111000111000110101100100111001100011100011011000111001100110001101011000111010011000111001100100111001110000110101011001101001100011100111000011100101100110011001101001100110001111000110011001101001100110011001110001011001100111000110011010011100011001100110110001100110101010011100
13,13,0,1,0110101010011100011010011100110001100110101010110010011100100111001010101100011001111000011001110011001010110001110001110100110001110011001010110001110011001100110010110001110100110011001100011110000111010011100001110010110011010100110100110011001100110011010011100010110011001110001101001100111000110011001110010100110011100011010100111000111000110011100011100100111001001110010100111000111000111001100011010110010101010101100101001111000011010110001110011010011000110110010110010110011001010110011001100101100101100110011010011001011001011001101001101001100110011001101001101001100110100111000011110001100111000101100111001001101010011100001111001100011001110001100111001010100111000110101010110001101100011011000110110001110010110001110001110010110001110011000111001100011100110001110011001100110001110011000111010011001100110010110001110101001100110011001100011110001100110011001100110011010011010011100001110011100100110011001100111000111000110011001100110110001110001101001101010101010100110101010101010101001110010100
14,14,0,1,1110010101010011100101010101010110010011100110001101100101010110010101011000111010011000111001100011100110011001100101010110011001011001011001101001100101100101100110011001101010011000111100011001100110011001101010100110011010011001110001100110011001110010100110100110100111000111000110011001110010101001110010011010110001100111001010101010110001100111001100011100101001110011001010101001110011001100011100110001110010101100101100110010011101001100110010101100011110001010110011001100110010101100111000011110000111010100110011010011001100110011001110001100110011100001111001001100111000110011001110001101010101001101001110010011010101010011100011011000110101010101010101010110001100111001100110001100111001011000111001010101100101011000111001100011100110011000111001100110001110011001011001100101100101100110011001100101100110011001011001110000111010011100001110011011000011101001110001100110011001100111001001100111000110010110101010101010011100011001101010101010100110110001101010100111001100011001101011001010011100101011
15,15,0,1,0001100111100001100111001100011100101100011100110010101010110001110100110010101011001011001011001011001011001100110010101100110011001101001100101011001100111000101010110011100011001100110011010011010011010011010011010011100011001011010101010100110101010011010101010011100011001110001110001101100011001110010101010101010101010101010110001101011000111001100101001110010110001110011000111001100011100110011001010101011001100101011001100110010101100110010110011001100110011001100110010101101010011001100110100110011001110000111001110001101001101001100111000110010110101010011100100110011011000110011001110011000101100111001100011100010110011101001011000110011001110100110001110001101011001001110011001100011011000111001011001011001001110100110011000111001010110011001100101100110010101100110011001100110011001100101100110011010011001101001100110011001100110101001101001101001101001101001101001110001100110011100011010011100011001110001101010100111000110110001100111000111001010011100101001110001110010101010101100011011000111001
